                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2317,                  4.962,                 1.1844,                0.20946,                 0.0735,                0.03088,                0.02103,                 1.1972,                 3.8478,                 1.1897,               0.070141,              0.0033177,              0.0033177
                      1,                  1.268,                 4.0915,                 1.2025,                0.47209,                0.05779,                0.03358,                0.02612,                 1.3267,                 3.7415,                 1.3561,               0.040075,              0.0065852,              0.0065852
                      2,                 1.3491,                 3.8817,                 1.2325,                0.34062,                0.04093,                0.01481,                0.00983,                 1.4789,                 4.0187,                 1.4212,              0.0099432,              0.0097867,              0.0097867
                      3,                 1.4189,                 3.8455,                 1.2875,                0.43814,                0.05538,                0.05259,                0.03595,                 1.7601,                 3.9345,                 1.5877,               0.009703,               0.009703,               0.009703
                      4,                 1.3902,                  3.679,                 1.2506,                0.31934,                0.12152,                0.06472,                0.04917,                  1.356,                 4.0492,                 1.3063,               0.009703,               0.009703,               0.009703
                      5,                 1.3481,                 3.5376,                 1.2225,                0.33622,                0.10955,                0.05232,                0.03497,                 1.3167,                  3.348,                 1.2735,               0.009604,               0.009604,               0.009604
                      6,                 1.3244,                 3.4338,                 1.2128,                0.24328,                0.13126,                0.04658,                0.03324,                 1.3724,                 3.7554,                 1.2856,               0.009505,               0.009505,               0.009505
                      7,                 1.3034,                 3.3086,                 1.1933,                0.43513,                0.12414,                 0.0817,                0.06127,                 1.4041,                 3.3478,                 1.3104,               0.009406,               0.009406,               0.009406
                      8,                 1.2634,                 3.2021,                 1.1853,                0.33413,                0.11707,                0.08479,                0.06351,                  1.243,                 3.1291,                 1.2243,               0.009307,               0.009307,               0.009307
                      9,                 1.2629,                 3.0795,                 1.1879,                0.35034,                0.09658,                0.06445,                0.04371,                 1.3185,                 3.1693,                 1.2567,               0.009208,               0.009208,               0.009208
                     10,                 1.2572,                 2.9951,                 1.1743,                0.23775,                0.11178,                0.07146,                0.05576,                 1.2783,                 3.5991,                 1.2535,               0.009109,               0.009109,               0.009109
                     11,                 1.2434,                 2.9274,                 1.1736,                0.36045,                0.13363,                0.10848,                 0.0825,                 1.3055,                 3.0832,                 1.2534,                0.00901,                0.00901,                0.00901
                     12,                  1.243,                 2.8347,                 1.1616,                0.26698,                0.16267,                0.11028,                0.08758,                 1.2312,                 2.9976,                 1.2157,               0.008911,               0.008911,               0.008911
                     13,                 1.2137,                 2.7365,                 1.1532,                0.22586,                0.13538,                0.08737,                0.06616,                  1.295,                  3.226,                 1.2475,               0.008812,               0.008812,               0.008812
                     14,                 1.2081,                 2.7066,                 1.1497,                 0.2854,                0.09978,                0.07973,                0.05801,                 1.4285,                 3.3953,                 1.3172,               0.008713,               0.008713,               0.008713
                     15,                 1.1959,                  2.632,                 1.1347,                0.39617,                0.09317,                 0.0967,                0.06846,                  1.252,                 3.0935,                 1.2006,               0.008614,               0.008614,               0.008614
                     16,                 1.1733,                 2.5854,                  1.129,                0.26754,                0.12749,                0.09135,                0.06951,                 1.2271,                 2.9868,                 1.1935,               0.008515,               0.008515,               0.008515
                     17,                 1.1796,                 2.5223,                 1.1355,                0.23353,                0.18431,                0.11794,                0.09465,                 1.2158,                 3.0294,                  1.206,               0.008416,               0.008416,               0.008416
                     18,                 1.1793,                  2.478,                 1.1316,                0.23776,                0.19949,                0.12826,                0.10158,                 1.1962,                 2.9605,                 1.1848,               0.008317,               0.008317,               0.008317
                     19,                 1.1674,                 2.4542,                 1.1212,                0.24425,                0.18719,                0.12429,                0.10072,                 1.1871,                 3.0848,                 1.1929,               0.008218,               0.008218,               0.008218
                     20,                 1.1527,                 2.3844,                 1.1115,                0.26603,                0.15325,                0.13732,                  0.113,                 1.2123,                 3.0064,                 1.2047,               0.008119,               0.008119,               0.008119
                     21,                 1.1376,                  2.351,                 1.1171,                0.30382,                 0.1536,                0.10646,                 0.0764,                 1.2013,                 2.9744,                 1.2087,                0.00802,                0.00802,                0.00802
                     22,                 1.1248,                 2.2961,                 1.0992,                0.21931,                0.17579,                0.11263,                0.08139,                 1.1981,                 3.0562,                 1.1769,               0.007921,               0.007921,               0.007921
                     23,                 1.1274,                 2.2613,                 1.1024,                0.25704,                0.13484,                0.11941,                0.09282,                 1.2011,                 3.1402,                 1.2043,               0.007822,               0.007822,               0.007822
                     24,                 1.1145,                 2.2331,                  1.095,                0.14941,                0.17499,                0.12204,                0.09668,                 1.1273,                 2.9044,                 1.1757,               0.007723,               0.007723,               0.007723
                     25,                 1.1152,                 2.1929,                 1.0926,                0.20615,                0.15273,                0.10976,                 0.0871,                 1.2009,                 3.1257,                 1.2064,               0.007624,               0.007624,               0.007624
                     26,                  1.128,                 2.1699,                 1.0892,                 0.2684,                0.17122,                0.11675,                0.09231,                  1.135,                 2.9986,                  1.163,               0.007525,               0.007525,               0.007525
                     27,                 1.1016,                 2.1098,                 1.0922,                0.22241,                0.15791,                0.12684,                0.10254,                 1.1528,                 2.9194,                 1.1545,               0.007426,               0.007426,               0.007426
                     28,                 1.1032,                 2.0837,                 1.0806,                 0.2426,                 0.2016,                0.11784,                0.09207,                 1.1668,                 2.9684,                 1.1696,               0.007327,               0.007327,               0.007327
                     29,                 1.0797,                 2.0318,                 1.0709,                0.21292,                0.15544,                0.11496,                0.09017,                  1.198,                  2.984,                 1.1868,               0.007228,               0.007228,               0.007228
                     30,                 1.0763,                 1.9948,                 1.0757,                0.24082,                0.17751,                0.13539,                 0.1076,                 1.1176,                 2.9676,                 1.1519,               0.007129,               0.007129,               0.007129
                     31,                 1.0792,                 1.9871,                 1.0771,                0.20171,                0.15928,                0.12145,                0.09772,                 1.1675,                 2.7947,                 1.1962,                0.00703,                0.00703,                0.00703
                     32,                 1.0866,                  1.954,                 1.0796,                0.26866,                0.14595,                0.12897,                 0.1015,                 1.1739,                 3.0213,                 1.1794,               0.006931,               0.006931,               0.006931
                     33,                 1.0619,                 1.8983,                 1.0711,                0.31161,                0.12997,                0.12758,                0.10126,                 1.1643,                   2.92,                 1.1945,               0.006832,               0.006832,               0.006832
                     34,                 1.0778,                 1.8566,                 1.0698,                 0.1908,                0.14292,                0.10493,                0.08222,                 1.1238,                 2.9543,                 1.1556,               0.006733,               0.006733,               0.006733
                     35,                 1.0505,                 1.8379,                  1.061,                0.28631,                0.13786,                0.10842,                 0.0822,                 1.1308,                 2.9734,                  1.163,               0.006634,               0.006634,               0.006634
                     36,                 1.0517,                 1.8051,                 1.0587,                0.16604,                0.15124,                0.10146,                0.08049,                 1.1429,                 3.0732,                 1.1505,               0.006535,               0.006535,               0.006535
                     37,                 1.0321,                 1.7515,                 1.0552,                0.17958,                0.19947,                0.12889,                0.09734,                 1.1707,                 3.1459,                 1.1802,               0.006436,               0.006436,               0.006436
                     38,                 1.0387,                 1.7465,                 1.0603,                0.28166,                0.17608,                0.12328,                0.09705,                 1.1674,                 3.1698,                  1.185,               0.006337,               0.006337,               0.006337
                     39,                 1.0342,                 1.6977,                  1.049,                0.30606,                 0.1123,                0.11128,                0.08885,                 1.1504,                 3.0401,                  1.163,               0.006238,               0.006238,               0.006238
                     40,                  1.029,                 1.6647,                 1.0514,                0.14691,                0.15745,                0.12093,                0.09576,                 1.1632,                 3.0792,                 1.1903,               0.006139,               0.006139,               0.006139
                     41,                 1.0211,                 1.6489,                 1.0428,                0.18813,                0.17617,                0.11247,                0.09174,                 1.1558,                 3.1304,                 1.1595,                0.00604,                0.00604,                0.00604
                     42,                 1.0248,                 1.6437,                 1.0406,                0.16239,                0.15246,                0.12223,                0.09784,                  1.146,                 3.3058,                 1.1808,               0.005941,               0.005941,               0.005941
                     43,                 1.0106,                  1.602,                 1.0366,                0.30225,                0.15249,                0.10907,                 0.0834,                 1.1499,                 3.3942,                 1.1531,               0.005842,               0.005842,               0.005842
                     44,                0.99997,                  1.573,                 1.0327,                0.23103,                0.14733,                0.12867,                0.10143,                 1.1514,                 3.2421,                  1.187,               0.005743,               0.005743,               0.005743
                     45,                 1.0015,                 1.5218,                 1.0333,                0.20964,                0.15289,                0.12512,                0.10164,                 1.1396,                 2.9934,                 1.1703,               0.005644,               0.005644,               0.005644
                     46,                0.99829,                 1.4989,                 1.0324,                0.30908,                 0.1347,                0.11517,                0.09274,                 1.1395,                 3.4548,                 1.1737,               0.005545,               0.005545,               0.005545
                     47,                0.98763,                 1.4976,                 1.0292,                0.35029,                 0.1492,                0.12578,                0.10321,                 1.1197,                 3.5489,                 1.1529,               0.005446,               0.005446,               0.005446
                     48,                0.98257,                 1.4468,                 1.0314,                0.22695,                0.20828,                0.12555,                0.09981,                 1.1461,                 3.2374,                 1.1598,               0.005347,               0.005347,               0.005347
                     49,                0.97326,                 1.4361,                 1.0268,                0.27047,                0.11744,                0.11623,                0.09372,                 1.1663,                 3.3385,                 1.1684,               0.005248,               0.005248,               0.005248
                     50,                0.99254,                 1.4246,                 1.0253,                0.25492,                0.12401,                0.11205,                0.09184,                 1.1273,                 3.2128,                 1.1545,               0.005149,               0.005149,               0.005149
                     51,                0.97611,                 1.4159,                 1.0234,                0.12632,                0.17689,                 0.1222,                0.09567,                 1.1684,                  3.585,                 1.1919,                0.00505,                0.00505,                0.00505
                     52,                0.97394,                 1.3851,                 1.0246,                0.16841,                0.15923,                0.11399,                0.08902,                 1.1245,                  3.473,                 1.1531,               0.004951,               0.004951,               0.004951
                     53,                0.96969,                 1.3726,                 1.0216,                0.29499,                0.17137,                0.13744,                0.11057,                 1.1252,                 3.0917,                 1.1694,               0.004852,               0.004852,               0.004852
                     54,                0.95225,                 1.3507,                 1.0135,                0.25419,                0.12387,                0.12879,                0.10708,                 1.1334,                 3.4999,                 1.1628,               0.004753,               0.004753,               0.004753
                     55,                0.95592,                 1.3221,                 1.0118,                0.38075,                0.12725,                0.13018,                0.10436,                 1.1341,                 3.3211,                 1.1716,               0.004654,               0.004654,               0.004654
                     56,                0.95202,                 1.3148,                 1.0072,                0.19807,                0.16488,                0.13111,                0.10735,                 1.1243,                 3.4158,                 1.1543,               0.004555,               0.004555,               0.004555
                     57,                0.94133,                 1.2707,                 1.0101,                0.15792,                 0.1781,                 0.1328,                0.10562,                 1.1461,                 3.3615,                 1.1664,               0.004456,               0.004456,               0.004456
                     58,                0.95316,                 1.2779,                 1.0093,                0.19004,                0.14735,                0.12289,                 0.1029,                 1.1294,                 3.5584,                 1.1532,               0.004357,               0.004357,               0.004357
                     59,                0.93954,                 1.2306,                 1.0029,                0.18145,                0.18179,                0.11917,                0.09824,                  1.137,                 3.6595,                 1.1584,               0.004258,               0.004258,               0.004258
                     60,                0.93739,                 1.2242,                0.99994,                0.49828,                0.09912,                0.12701,                0.10047,                 1.1384,                 3.5808,                 1.1909,               0.004159,               0.004159,               0.004159
                     61,                0.93956,                 1.2183,                 1.0019,                 0.2585,                0.15145,                0.11799,                0.09853,                 1.1207,                 3.6479,                 1.1783,                0.00406,                0.00406,                0.00406
                     62,                0.94901,                 1.2111,                 1.0101,                0.26469,                0.14823,                0.12743,                0.10443,                 1.1103,                 3.6292,                 1.1545,               0.003961,               0.003961,               0.003961
                     63,                0.93302,                  1.195,                 1.0007,                0.27311,                0.14362,                0.12745,                0.10419,                 1.1026,                 3.5278,                 1.1665,               0.003862,               0.003862,               0.003862
                     64,                 0.9157,                 1.1736,                 1.0001,                0.13412,                0.17269,                0.12146,                0.09924,                 1.1247,                 3.9217,                 1.1669,               0.003763,               0.003763,               0.003763
                     65,                0.92702,                 1.1645,                0.99191,                0.20145,                0.18793,                0.11865,                0.09643,                 1.1253,                 4.0271,                 1.1766,               0.003664,               0.003664,               0.003664
                     66,                0.90875,                 1.1423,                0.99238,                 0.2781,                0.16786,                0.13683,                0.10627,                 1.1281,                 3.6881,                 1.1665,               0.003565,               0.003565,               0.003565
                     67,                0.91389,                 1.1323,                 0.9933,                 0.1727,                0.15962,                0.11608,                0.09699,                 1.1699,                 3.8824,                 1.1819,               0.003466,               0.003466,               0.003466
                     68,                0.92058,                  1.133,                0.99502,                0.15022,                0.18348,                0.13176,                0.10864,                 1.1247,                 3.9944,                 1.1524,               0.003367,               0.003367,               0.003367
                     69,                0.90352,                  1.097,                0.99077,                0.26659,                 0.1307,                0.11336,                0.09198,                 1.0904,                 3.9262,                 1.1338,               0.003268,               0.003268,               0.003268
                     70,                0.89087,                 1.0841,                0.98754,                0.22827,                 0.1326,                 0.1276,                  0.104,                 1.1085,                 3.8927,                 1.1587,               0.003169,               0.003169,               0.003169
